transaction_id,user_id,amount,timestamp,city,latitude,longitude,transaction_type,merchant,is_seed_fraud,kafka_ts,event_time,fraud_high_value,fraud_location_anomaly,is_fraud,fraud_reason,processed_at
f8e8348f-3239-441f-8e5c-188de217c934,user_0002,1534.74,2026-04-09T20:11:58.114822+00:00,Los Angeles,34.14508425548521,-118.34318946543611,withdrawal,Williams-Lambert,false,2026-04-09T20:11:58.115Z,2026-04-09T20:11:58.114Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
a78bf53b-985e-4eec-9c45-dd168b2f87dd,user_0002,877.38,2026-04-09T20:11:58.318550+00:00,Chicago,41.82401678182582,-87.5852417943303,withdrawal,Martinez and Sons,false,2026-04-09T20:11:58.318Z,2026-04-09T20:11:58.318Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
4896faf0-3168-4f6c-a9e4-39f428a19b3e,user_0005,2244.37,2026-04-09T20:11:44.863360+00:00,London,51.51414951716446,-0.10233697342760745,purchase,"Jones, Scott and Alvarez",false,2026-04-09T20:11:44.864Z,2026-04-09T20:11:44.863Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
9b70278b-f4fb-4f4d-9178-10db330e1d99,user_0009,996.42,2026-04-09T20:11:55.463577+00:00,San Antonio,29.37917281850378,-98.5589267262299,online_payment,"Sweeney, Owens and Hodge",false,2026-04-09T20:11:55.463Z,2026-04-09T20:11:55.463Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
173fa843-5612-4eec-aee6-63e47e004dde,user_0009,1809.21,2026-04-09T20:11:55.666116+00:00,Tokyo,35.65668104755208,139.69542907945362,transfer,"Byrd, Collins and Garcia",false,2026-04-09T20:11:55.667Z,2026-04-09T20:11:55.666Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
d814b7a4-0fe7-4474-b261-677644760155,user_0010,1307.49,2026-04-09T20:11:56.075437+00:00,Sydney,-33.8688,151.2093,purchase,Greer and Sons,true,2026-04-09T20:11:56.076Z,2026-04-09T20:11:56.075Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
a6dcd1bc-eefa-43be-a134-4e2a1e1f3c7a,user_0010,1307.49,2026-04-09T20:11:56.075437+00:00,New York,40.7128,-74.006,purchase,Greer and Sons,true,2026-04-09T20:11:56.075Z,2026-04-09T20:11:56.075Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
8b75368a-56b7-48af-b01e-2cf474107afb,user_0011,2644.75,2026-04-09T20:11:44.455024+00:00,Seattle,47.52895289206988,-122.38311232683817,refund,"Nunez, Greene and Clark",false,2026-04-09T20:11:44.455Z,2026-04-09T20:11:44.455Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
75c5d468-bf29-48b9-9bb2-f908210fb14a,user_0011,2093.08,2026-04-09T20:11:55.871641+00:00,Chicago,41.79803061669802,-87.53480440608713,purchase,Hart-Maldonado,false,2026-04-09T20:11:55.872Z,2026-04-09T20:11:55.871Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
5291298a-001b-4380-a67f-46caf29aaaa3,user_0014,1448.72,2026-04-09T20:11:43.225189+00:00,Los Angeles,34.02327242436987,-118.31307623253485,withdrawal,Cooper LLC,false,2026-04-09T20:11:43.225Z,2026-04-09T20:11:43.225Z,false,true,true,location_anomaly,2026-04-09T20:12:04.089Z
